"code8","commonName","object","krugerCode","scientificName","genus","specEpith","subSp","class","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","det_invert","det_mamsBirds","det_reptAmph","det_fish","det_vertUnkn","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_mastSoft","det_mastHard","det_mastConifers","det_mastPods","det_mastSamaras","foraging_stratum","activity_cycle","freshwater","marine","terrestrial","aerial","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","TEE_kcal_d","logBodyMass"
"lophuromMelanony","","","","Lophuromys melanonyx","Lophuromys","melanonyx","","mammal","Rodentia","Muridae",10.2,1.15,160,NA,1183.526,NA,94.797,NA,125.234,28.434,NA,3.44,3.145,54.251,NA,25.956,NA,619.601,0.085,NA,0,1,NA,NA,80,0,10,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,4300,3100,1200,0,"mainland",0,0,"Afrotropical",3,7.236075105,1.00860017176192
"lophuromFlavopun","","","","Lophuromys flavopunctatus","Lophuromys","flavopunctatus","","mammal","Rodentia","Muridae",56.035,1.01,141.05,NA,273.75,61.02,60.946,NA,91.666,30.72,NA,2.305,3.24,65.276,6.5,46.774,15.41,673.494,0.217,835.93,0,1,NA,NA,80,0,10,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,4500,NA,NA,0,"mainland",1,0,"Afrotropical",1,25.22004615,1.74845937626958
"lophuromCinereus","","","","Lophuromys cinereus","Lophuromys","cinereus","","mammal","Rodentia","Muridae",66.8,1.227,151.283,NA,982.344,NA,86.693,NA,120.85,31.169,NA,2.438,3.145,57.522,NA,27.95,NA,648.921,0.239,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,2350,2275,75,NA,"mainland",NA,NA,"Afrotropical",1,28.68657302,1.82477646247555
"lophuromEisentra","","","","Lophuromys eisentrauti","Lophuromys","eisentrauti","","mammal","Rodentia","Muridae",53.61,1.076,139.035,NA,1122.375,NA,73.6,NA,105.552,30.436,NA,3.25,3.25,48.46,7.65,12.922,13.61,604.626,0.212,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,NA,NA,NA,NA,"mainland",NA,NA,"Afrotropical",1,24.41542296,1.72924580722531
"lophuromLuteogas","","","","Lophuromys luteogaster","Lophuromys","luteogaster","","mammal","Rodentia","Muridae",97.76,2.019,160,NA,1565.634,NA,115.252,NA,146.888,37.957,NA,1.5,3.042,75.755,NA,33.597,NA,706.65,2.08,NA,0,1,NA,NA,80,0,10,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,1000,700,300,NA,"mainland",NA,NA,"Afrotropical",2,37.92181701,1.99016119289848
"lamottemOkuensis","","","","Lamottemys okuensis","Lamottemys","okuensis","","mammal","Rodentia","Muridae",56,1.147,135,NA,1119.067,NA,97.629,NA,127.982,28.001,NA,2.893,3.267,42.087,NA,26.802,NA,603.622,0.217,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,2900,2100,800,NA,"mainland",NA,NA,"Afrotropical",1,25.20850004,1.7481880270062
"nesokiaIndica","","","","Nesokia indica","Nesokia","indica","","mammal","Rodentia","Muridae",160.79,1.98,215,NA,608.333,NA,102.219,NA,142.993,17.174,NA,4.135,4.03,46.663,NA,25.335,NA,563.898,0.388,NA,0,1,NA,NA,0,0,0,0,0,0,20,0,30,50,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,1600,0,1600,0,"mainland",1,0,"Afrotropical, Indomalayan, Palearctic",5,54.60938013,2.20625903520928
"musMusculus","","","","Mus musculus","Mus","musculus","","mammal","Rodentia","Muridae",20.5,0.443,95,NA,2190,64.71,53.355,42,139.5,19.6,10,6.07,4.57,29.979,1.25,21.914,8.95,628.295,0.125,7206.667,0,2,0.001,NA,20,0,0,0,0,0,0,0,20,60,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,NA,"mainland",NA,NA,"Afrotropical, Australasian, Indomalayan, Nearctic, Neotropical, Oceanian, Palearctic",5,12.06936454,1.31175386105575
"rattusRattus","","","","Rattus rattus","Rattus","rattus","","mammal","Rodentia","Muridae",200,1.816,201.99,NA,1533,115.29,102.645,112,143.14,22.261,NA,5.95,4.28,33.602,4.55,26.087,39.69,546.199,0.437,1453.667,0,2,0.002,NA,30,0,0,0,0,0,20,0,40,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical, Indomalayan, Oceanian, Palearctic",5,64.08035128,2.30102999566398
"rattusRattus","","","","Rattus rattus","Rattus","rattus","","mammal","Rodentia","Muridae",200,1.816,201.99,NA,1533,115.29,102.645,112,143.14,22.261,NA,5.95,4.28,33.602,4.55,26.087,39.69,546.199,0.437,1453.667,0,2,0.002,NA,30,0,0,0,0,0,20,0,40,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical, Indomalayan, Oceanian, Palearctic",5,64.08035128,2.30102999566398
