"code8","commonName","object","krugerCode","scientificName","genus","specEpith","subSp","class","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","det_invert","det_mamsBirds","det_reptAmph","det_fish","det_vertUnkn","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_mastSoft","det_mastHard","det_mastConifers","det_mastPods","det_mastSamaras","foraging_stratum","activity_cycle","freshwater","marine","terrestrial","aerial","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","TEE_kcal_d","logBodyMass"
"phanerElectrom","","","","Phaner electromontis","Phaner","electromontis","","mammal","Primates","Cheirogaleidae",400,7.917,268.12,NA,9289.25,NA,660.569,NA,835.216,174.46,NA,1,1.055,368.314,NA,131.505,NA,2879.662,0.64,NA,0,2,NA,NA,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1500,50,1450,NA,"isolated islands",NA,NA,"Afrotropical",1,106.5000392,2.60205999132796
"phanerPallesce","","","","Phaner pallescens","Phaner","pallescens","","mammal","Primates","Cheirogaleidae",400,6.59,268.12,NA,9289.25,NA,660.746,NA,840.46,174.46,NA,1,1.054,368.281,NA,132.954,NA,2920,0.64,158.5,0,2,NA,NA,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,800,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",2,106.5000392,2.60205999132796
"phanerFurcifer","","","","Phaner furcifer","Phaner","furcifer","","mammal","Primates","Cheirogaleidae",400,6.75,268.12,NA,9289.25,NA,656.153,NA,822.428,174.46,NA,1,1.056,367.448,NA,129.037,NA,2843.795,0.64,500.24,0,2,0.02,1,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1000,0,1000,NA,"isolated islands",NA,NA,"Afrotropical",1,106.5000392,2.60205999132796
"phanerParienti","","","","Phaner parienti","Phaner","parienti","","mammal","Primates","Cheirogaleidae",400,8.631,268.12,NA,9289.25,NA,702.568,NA,877.575,174.46,NA,1,1.046,369.332,NA,137.323,NA,2950.235,0.64,NA,0,2,NA,NA,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,800,0,800,NA,"isolated islands",NA,NA,"Afrotropical",1,106.5000392,2.60205999132796
"lepilemuWrightae","","","","Lepilemur wrightae","Lepilemur","wrightae","","mammal","Primates","Lepilemuridae",950,11.773,357.277,NA,7947.542,NA,730.187,NA,865.787,140.047,NA,1.065,1.041,363.832,NA,137.03,NA,2886.327,1.031,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,200.7583559,2.97772360528885
"lepilemuFleureta","","","","Lepilemur fleuretae","Lepilemur","fleuretae","","mammal","Primates","Lepilemuridae",980,11.262,357.369,NA,7730.787,NA,719.847,NA,850.615,139.467,NA,1.065,1.038,361.517,NA,134.597,NA,2861.143,1.048,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,205.3854107,2.99122607569249
"lepilemuMustelin","","","","Lepilemur mustelinus","Lepilemur","mustelinus","","mammal","Primates","Lepilemuridae",691.015,9.56,350,NA,4380,663.81,649.048,546,677.07,133.38,2,1,1,354.84,32.085,80.868,NA,1750.92,0.865,36.4,0,2,0.003,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,158.9865445,2.83948747479319
"lepilemuBetsileo","","","","Lepilemur betsileo","Lepilemur","betsileo","","mammal","Primates","Lepilemuridae",1150,10.625,362.427,NA,6355.989,NA,675.361,NA,788.744,134.928,NA,1.064,1.028,358.326,NA,123.464,NA,2691.326,1.145,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,230.9327074,3.06069784035361
"lepilemuSeali","","","","Lepilemur seali","Lepilemur","seali","","mammal","Primates","Lepilemuridae",950,11.607,357.422,NA,8079.186,NA,725.795,NA,863.197,138.703,NA,1.078,1.03,363.023,NA,138.409,NA,2894.252,1.031,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,200.7583559,2.97772360528885
"lepilemuEdwardsi","","","","Lepilemur edwardsi","Lepilemur","edwardsi","","mammal","Primates","Lepilemuridae",713,8.185,350,NA,4380,649.048,649.048,NA,782.428,133.38,2,1,1,355.623,32.085,80.868,NA,2555,0.88,292.6,0,2,0.008,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,450,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,162.6781843,2.85308952985187
"lepilemuOtto","","","","Lepilemur otto","Lepilemur","otto","","mammal","Primates","Lepilemuridae",938,9.961,346.307,NA,6040.696,NA,659.679,NA,781.8,134.816,NA,1.061,1.017,358.033,NA,116.312,NA,2606.493,1.023,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,198.8966463,2.97220283837906
"lepilemuMicrodon","","","","Lepilemur microdon","Lepilemur","microdon","","mammal","Primates","Lepilemuridae",713,9.003,337.495,NA,4380,649.048,649.048,NA,782.428,133.38,2,1,1,357.495,32.085,80.868,NA,2316.779,0.88,13,0,2,NA,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,162.6781843,2.85308952985187
"lepilemuSeptentr","","","","Lepilemur septentrionalis","Lepilemur","septentrionalis","","mammal","Primates","Lepilemuridae",713,7.917,315,NA,4380,377.57,634.286,NA,767.736,133.45,2,1,1,359.129,32.085,85.525,NA,2555,0.88,154.26,0,2,0.007,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,162.6781843,2.85308952985187
"lepilemuDorsalis","","","","Lepilemur dorsalis","Lepilemur","dorsalis","","mammal","Primates","Lepilemuridae",669.03,7.751,302.5,NA,4380,649.048,649.048,NA,782.428,133.38,2,1,1,355.57,32.085,80.868,NA,2276.081,0.85,NA,0,2,NA,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,155.2633937,2.82544559242005
"lepilemuMitterme","","","","Lepilemur mittermeieri","Lepilemur","mittermeieri","","mammal","Primates","Lepilemuridae",822.3,9.412,334.705,NA,5901.132,NA,654.76,NA,779.28,134.704,NA,1.046,1.016,361.591,NA,105.767,NA,2537.483,0.952,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,180.6033076,2.91503029025916
"lepilemuMilanoii","","","","Lepilemur milanoii","Lepilemur","milanoii","","mammal","Primates","Lepilemuridae",720,8.797,330.786,NA,5587.316,NA,641.854,NA,762.667,134.127,NA,1.051,1.015,362.456,NA,101.882,NA,2377.281,0.885,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,163.8471859,2.85733249643127
"lepilemuAnkarane","","","","Lepilemur ankaranensis","Lepilemur","ankaranensis","","mammal","Primates","Lepilemuridae",713,7.775,315,NA,4380,634.286,634.286,NA,767.736,133.45,NA,1,1,357.186,32.085,85.525,NA,2347.111,0.88,282.333,0,2,NA,NA,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1500,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,162.6781843,2.85308952985187
"lepilemuAeeclis","","","","Lepilemur aeeclis","Lepilemur","aeeclis","","mammal","Primates","Lepilemuridae",867.5,9.794,342.636,NA,6015.64,NA,657.435,NA,777.345,134.842,NA,1.045,1.018,360.949,NA,110.991,NA,2576.715,0.98,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,187.8268627,2.93826948346291
"lepilemuRandrian","","","","Lepilemur randrianasoloi","Lepilemur","randrianasoloi","","mammal","Primates","Lepilemuridae",780,8.374,337.195,NA,4806.799,NA,638.398,NA,752.943,134.033,NA,1.023,1.009,355.281,NA,94.57,NA,2293.659,0.925,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,173.7465278,2.89209460269048
"lepilemuHubbardo","","","","Lepilemur hubbardorum","Lepilemur","hubbardorum","","mammal","Primates","Lepilemuridae",990,9.582,350.398,NA,5493.279,NA,646.512,NA,759.055,133.901,NA,1.054,1.019,355.625,NA,112.258,NA,2452.428,1.054,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,206.919316,2.99563519459755
"lepilemuRuficaud","","","","Lepilemur ruficaudatus","Lepilemur","ruficaudatus","","mammal","Primates","Lepilemuridae",738.18,7.6,350,NA,4380,614.807,614.807,NA,594.95,133.45,2,1,1,343.045,32.085,102.423,NA,2078.179,0.897,146.333,0,2,NA,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,900,0,900,1,"isolated islands",0,0,"Afrotropical",1,166.8691796,2.86816227439079
"lepilemuLeucopus","","","","Lepilemur leucopus","Lepilemur","leucopus","","mammal","Primates","Lepilemuridae",684.515,6.71,350,NA,4380,620.76,627.523,NA,756.68,133.45,2,1,1,351.221,32.085,85.525,NA,1524.622,0.861,504.99,0,2,0.002,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,300,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,157.8891106,2.83538296941062
"lepilemuPetteri","","","","Lepilemur petteri","Lepilemur","petteri","","mammal","Primates","Lepilemuridae",630,7.68,325.009,NA,4733.813,NA,617.84,NA,721.013,132.209,NA,1.12,1.023,350.962,NA,92.631,NA,2065.635,0.822,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,148.5719039,2.79934054945358
"allocebuTrichoti","","","","Allocebus trichotis","Allocebus","trichotis","","mammal","Primates","Cheirogaleidae",78.09,7.06,133.495,NA,3278.917,NA,553.338,NA,650.773,127.009,NA,1,1,333.042,NA,93.138,57.15,1977.57,0.261,18,0,2,NA,1,0,0,0,0,0,0,50,0,0,50,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1600,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,32.16497257,1.8925954228289
"microcebMurinus","","","","Microcebus murinus","Microcebus","murinus","","mammal","Primates","Cheirogaleidae",66.9,1.797,143.61,NA,6643,355.53,299.265,243,380.2,60.34,NA,2.41,1,218.85,6,39.783,NA,2053.515,0.239,130.937,1,2,0.01,1,20,0,20,0,0,0,30,10,0,20,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",2,28.71804037,1.82542611776782
"microcebGriseoru","","","","Microcebus griseorufus","Microcebus","griseorufus","","mammal","Primates","Cheirogaleidae",69,2.153,143.61,NA,6643,271.132,299.265,243,359.605,60.34,NA,2.41,1,218.85,6,39.783,NA,1981.805,0.244,790,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,250,NA,NA,1,"isolated islands",0,0,"Afrotropical",2,29.37598912,1.83884909073726
"microcebMarohita","","","","Microcebus marohita","Microcebus","marohita","","mammal","Primates","Cheirogaleidae",NA,179.64,1171.259,NA,10350.232,NA,1313.234,NA,1460.191,198.414,NA,1.22,0.773,568.937,NA,295.685,NA,3870.243,6.001,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,NA,NA
"microcebMacarthu","","","","Microcebus macarthurii","Microcebus","macarthurii","","mammal","Primates","Cheirogaleidae",53,3.657,172.087,NA,5779.448,NA,456.419,NA,564.332,101.146,NA,1.81,1.337,268.064,NA,77.862,NA,2117.827,0.25,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,24.21150492,1.72427586960079
"microcebBongolav","","","","Microcebus bongolavensis","Microcebus","bongolavensis","","mammal","Primates","Cheirogaleidae",54,2.927,155.693,NA,5988.498,NA,374.98,NA,474.209,83.175,NA,1.995,1.321,262.43,NA,65.59,NA,2073.454,0.213,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,24.54547193,1.73239375982297
"microcebDanfossi","","","","Microcebus danfossi","Microcebus","danfossi","","mammal","Primates","Cheirogaleidae",63,3.207,158.636,NA,6016.54,NA,377.756,NA,481.253,86.53,NA,1.948,1.327,263.777,NA,68.682,NA,2085.181,0.232,380.909,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,780,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,27.48126302,1.79934054945358
"microcebJollyae","","","","Microcebus jollyae","Microcebus","jollyae","","mammal","Primates","Cheirogaleidae",61,3.118,156.941,NA,6002.905,NA,389.376,NA,491.145,88.335,NA,1.934,1.325,264.015,NA,69.244,NA,2090.77,0.228,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,26.83911777,1.78532983501077
"microcebGerpi","","","","Microcebus gerpi","Microcebus","gerpi","","mammal","Primates","Cheirogaleidae",68,3.742,164.089,NA,5888.005,NA,437.494,NA,550.566,98.777,NA,1.825,1.312,271.492,NA,77.259,NA,2105.808,0.276,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,230,29,201,NA,"isolated islands",NA,NA,"Afrotropical",1,29.06335737,1.83250891270624
"microcebSimmonsi","","","","Microcebus simmonsi","Microcebus","simmonsi","","mammal","Primates","Cheirogaleidae",65,3.204,158.81,NA,6024.881,NA,388.92,NA,495.283,88.93,NA,1.927,1.336,261.763,NA,70.14,NA,2092.983,0.236,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,28.11798527,1.81291335664286
"microcebMargotma","","","","Microcebus margotmarshae","Microcebus","margotmarshae","","mammal","Primates","Cheirogaleidae",49,3.884,163.809,NA,5814.279,NA,460.111,NA,579.428,102.26,NA,1.815,1.322,272.384,NA,76.091,NA,2146.179,0.245,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,22.85834099,1.69019608002851
"microcebMamiratr","","","","Microcebus mamiratra","Microcebus","mamiratra","","mammal","Primates","Cheirogaleidae",60,2.991,156.427,NA,6005.317,NA,374.028,NA,473.603,82.32,NA,1.999,1.319,262.29,NA,64.729,NA,2071.606,0.226,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,26.51594145,1.77815125038364
"microcebArnholdi","","","","Microcebus arnholdi","Microcebus","arnholdi","","mammal","Primates","Cheirogaleidae",45,4.138,163.75,NA,5837.12,NA,452.048,NA,571.615,101.188,NA,1.833,1.321,272.27,NA,76.246,NA,2146.185,0.243,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,21.47531048,1.65321251377534
"microcebMitterme","","","","Microcebus mittermeieri","Microcebus","mittermeieri","","mammal","Primates","Cheirogaleidae",44,2.793,154.206,NA,5967.688,NA,376.716,NA,471.749,80.728,NA,2.037,1.313,261.66,NA,63.209,NA,2061.776,0.19,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1760,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,21.12450137,1.64345267648619
"microcebLehilahy","","","","Microcebus lehilahytsara","Microcebus","lehilahytsara","","mammal","Primates","Cheirogaleidae",46.5,3.163,157.974,NA,5793.449,NA,403.072,NA,499.799,94.26,NA,1.865,1.29,274.744,NA,69.779,NA,2092.177,0.196,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,21.99764906,1.66745295288995
"microcebMyoxinus","","","","Microcebus myoxinus","Microcebus","myoxinus","","mammal","Primates","Cheirogaleidae",64.8,2.209,143.61,NA,6643,271.132,299.265,243,359.43,60.165,NA,2.205,1,218.85,6,39.783,NA,1975.572,0.235,99.5,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,900,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,28.05455096,1.81157500587059
"microcebBerthae","","","","Microcebus berthae","Microcebus","berthae","","mammal","Primates","Cheirogaleidae",33.45,8.183,192.389,NA,5593.652,NA,468.045,NA,568.972,114.222,NA,1.647,1.324,279.009,NA,87.207,NA,2161.172,0.164,81.667,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,150,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,17.27945012,1.52439612210384
"mirzaCoquerel","","","","Mirza coquereli","Mirza","coquereli","","mammal","Primates","Cheirogaleidae",311.2,5.32,240.92,NA,6351,343.74,343.74,275,532.9,89,4,1.71,1,364.75,14.5,136,NA,1825,0.558,52.25,0,2,0.03,1,60,0,0,0,10,0,10,0,10,10,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,700,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,88.60305864,2.49303958831765
"mirzaZaza","","","","Mirza zaza","Mirza","zaza","","mammal","Primates","Cheirogaleidae",290,5.32,240.92,NA,6351,343.74,343.74,275,532.9,89,4,1.71,1,364.75,14.5,136,NA,2372.5,3.544,52.25,0,2,0.03,1,60,0,0,0,10,0,10,0,10,10,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,700,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,84.13786598,2.46239799789896
"cheirogaMinuscul","","","","Cheirogaleus minusculus","Cheirogaleus","minusculus","","mammal","Primates","Cheirogaleidae",199.9,4.872,212.437,NA,5804.279,NA,438.4,NA,550.328,108.666,NA,1.741,1.233,305.631,NA,80.13,NA,2140.927,0.437,NA,0,2,NA,NA,10,0,0,0,0,0,50,0,0,40,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,64.05686747,2.30081279411812
"cheirogaMedius","","","","Cheirogaleus medius","Cheirogaleus","medius","","mammal","Primates","Cheirogaleidae",294.19,3.295,234.75,NA,8471.042,413.84,415.156,NA,472.67,63.766,4,2.195,1,364.75,17.185,61.218,NA,2584.908,0.541,212.571,1,2,0.02,1,15,0,0,0,0,0,40,10,0,35,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,800,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,85.027105,2.46862790626157
"cheirogaMajor","","","","Cheirogaleus major","Cheirogaleus","major","","mammal","Primates","Cheirogaleidae",420.11,6.8,244.5,NA,5475,420.91,420.91,365,488.41,70.762,4,2.255,1.039,338.962,18.06,47.158,NA,1888.991,0.658,43.25,1,2,0.02,1,15,0,0,0,0,0,40,10,0,35,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1800,0,1800,1,"isolated islands",1,0,"Afrotropical",1,110.3983943,2.62336301929836
"cheirogaSibreei","","","","Cheirogaleus sibreei","Cheirogaleus","sibreei","","mammal","Primates","Cheirogaleidae",420.11,5.971,244.5,NA,5475,420.91,420.91,NA,491.672,70.762,NA,2.255,1.136,316.9,18.06,47.158,NA,2052.939,0.658,NA,0,2,NA,NA,10,0,0,0,0,0,50,0,0,40,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1800,1400,400,NA,"isolated islands",NA,NA,"Afrotropical",1,110.3983943,2.62336301929836
"indriIndri","","","","Indri indri","Indri","indri","","mammal","Primates","Indriidae",8241.74,38.3,817.495,NA,9231.941,1605.69,2263.773,NA,2405.83,142.057,2,1.005,0.41,911.875,300,324.089,NA,4015,3.382,9.522,0,2,0.12,3.1,0,0,0,0,0,0,30,0,0,70,NA,NA,NA,NA,NA,"Ar",3,0,0,1,0,1800,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,978.0256818,3.91601890983109
"avahiPeyriera","","","","Avahi peyrierasi","Avahi","peyrierasi","","mammal","Primates","Indriidae",1000,12.932,368.856,NA,9125.61,NA,790.495,NA,937.223,142.024,NA,1.045,1.044,370.994,NA,153.287,NA,3100.079,1.06,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,208.4490883,3
"avahiBetsileo","","","","Avahi betsileo","Avahi","betsileo","","mammal","Primates","Indriidae",1000,12.886,369.08,NA,8973.137,NA,781.515,NA,920.339,140.288,NA,1.051,1.055,369.44,NA,151.108,NA,3079.558,1.06,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,208.4490883,3
"avahiMeridion","","","","Avahi meridionalis","Avahi","meridionalis","","mammal","Primates","Indriidae",1150,12.652,374.605,NA,8863.219,NA,802.47,NA,928.183,140.831,NA,1.039,1.034,367.447,NA,151.646,NA,3109.459,1.145,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,230.9327074,3.06069784035361
"avahiRamanant","","","","Avahi ramanantsoavanai","Avahi","ramanantsoavanai","","mammal","Primates","Indriidae",980,12.108,363.977,NA,8816.58,NA,770.577,NA,900.517,140.992,NA,1.044,1.046,367.27,NA,149.932,NA,3038.506,1.048,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,205.3854107,2.99122607569249
"avahiLaniger","","","","Avahi laniger","Avahi","laniger","","mammal","Primates","Indriidae",1093.355,10.49,362.5,NA,9144.442,873.924,873.924,NA,941.7,136.556,2,1.005,1,364.75,32.97,155.687,NA,3041.404,1.113,55.617,0,2,0.01,2,0,0,0,0,0,0,20,0,0,80,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,222.5399981,3.03876119535227
"avahiCleesei","","","","Avahi cleesei","Avahi","cleesei","","mammal","Primates","Indriidae",5500,33.838,578.357,NA,9166.915,NA,1123.804,NA,1276.965,156.846,NA,1.061,0.956,472.678,NA,193.113,NA,3470.926,2.707,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",3,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,727.1295847,3.74036268949424
"avahiUnicolor","","","","Avahi unicolor","Avahi","unicolor","","mammal","Primates","Indriidae",830,12.181,360.502,NA,8566.284,NA,738.025,NA,873.957,140.228,NA,1.061,1.037,363.944,NA,141.295,NA,2988.38,0.957,NA,0,2,NA,NA,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1600,0,1600,NA,"isolated islands",NA,NA,"Afrotropical",1,181.8412189,2.91907809237607
"avahiOccident","","","","Avahi occidentalis","Avahi","occidentalis","","mammal","Primates","Indriidae",1092.28,12.631,362.5,NA,9022.571,873.924,873.924,NA,1010.48,136.556,NA,1.01,1,364.75,32.97,155.687,NA,3075.549,1.113,67,0,2,0.01,3,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,222.3796156,3.03833398165401
"propitheCoquerel","","","","Propithecus coquereli","Propithecus","coquereli","","mammal","Primates","Indriidae",3622.695,27.37,511.245,NA,11132.5,993.454,1074.907,912,1533,145.525,NA,1.01,1,364.75,90.045,179.395,NA,3650,2.152,60,0,2,NA,5.5,0,0,0,0,0,0,30,0,0,70,NA,NA,NA,NA,NA,"Ar",3,0,0,1,0,300,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,535.4444057,3.55903177168488
